2026-03-13,5054 Cockrell Ave,76123,265000,3,2,1684,2189,-8853,-267,FAIL,NEW
2026-03-13,4159 Belmeade Dr,76115,125000,2,1,792,1029,-4179,-268,FAIL,REALTOR_NEW
2026-03-13,1119 E Cantey St,76104,159900,2,1,704,915,-5748,-288,FAIL,REALTOR_NEW
2026-03-13,1916 Tierney Rd,76112,193500,2,1,1098,1427,-6636,-274,FAIL,REALTOR_NEW
2026-03-13,4525 Calmont Ave,76107,264500,2,1,1128,1466,-9555,-289,FAIL,PRICE_DROP
2026-03-13,655 Ridgeline Dr,76053,199900,2,1,994,1292,-7037,-282,FAIL,PRICE_DROP
2026-03-13,1348 E Maddox Ave,76164,239900,3,2,1720,2236,-7760,-259,FAIL,ZILLOW_NEW
2026-03-13,1508 California Pkwy N,76115,229900,3,1,1233,1602,-7977,-278,FAIL,REALTOR_NEWSLETTER
2026-03-13,5117 Slate St,76114,333000,2,1,1151,1496,-12379,-297,FAIL,REALTOR_NEWSLETTER
2026-03-13,8113 Wildwest Dr,76131,325000,3,2,1636,2126,-11416,-281,FAIL,REALTOR_NEWSLETTER
2026-03-13,4305 Frazier Ave,76115,165000,2,1,783,1017,-5858,-284,FAIL,REALTOR_POPULAR
